date,open,high,low,close,adj_close,volume,source
2016-05-18,12.5,14.93,12.5,13.18,13.18,482.52182654,coinbase-exchange
2016-05-19,13.18,14.9,13.0,14.9,14.9,950.44120523,coinbase-exchange
2016-05-20,14.82,14.82,13.71,14.17,14.17,254.16661711,coinbase-exchange
2016-05-23,13.86,13.91,13.61,13.61,13.61,180.78671194,coinbase-exchange
2016-05-24,13.68,13.74,12.0,12.77,12.77,2753.23929761,coinbase-exchange
2016-05-25,13.0,13.18,11.93,12.61,12.61,9697.18159109,coinbase-exchange
2016-05-26,12.61,12.95,12.15,12.47,12.47,2989.89095855,coinbase-exchange
2016-05-27,12.47,12.47,10.25,10.98,10.98,19334.80270001,coinbase-exchange
2016-05-28,11.3,12.44,10.7,12.02,12.02,15681.8628585,coinbase-exchange
2016-05-29,12.02,12.49,11.7,12.34,12.34,3387.40487214,coinbase-exchange
2016-05-30,12.35,12.88,12.0,12.88,12.88,4135.59302674,coinbase-exchange
2016-05-31,12.84,14.24,12.37,14.16,14.16,5807.80267105,coinbase-exchange
2016-06-01,14.15,14.45,13.5,13.93,13.93,10399.90743021,coinbase-exchange
2016-06-02,13.93,14.18,13.76,14.03,14.03,8053.87238728,coinbase-exchange
2016-06-03,14.03,14.12,13.49,13.98,13.98,13008.11158384,coinbase-exchange
2016-06-04,13.98,14.03,13.56,13.95,13.95,6261.45920002,coinbase-exchange
2016-06-05,13.97,14.06,13.8,14.04,14.04,1959.58572034,coinbase-exchange
2016-06-06,14.02,14.3,13.83,14.22,14.22,5140.25595197,coinbase-exchange
2016-06-07,14.21,14.69,13.97,14.52,14.52,13018.45243483,coinbase-exchange
2016-06-08,14.53,14.87,14.4,14.64,14.64,12612.50810563,coinbase-exchange
2016-06-09,14.64,14.85,14.55,14.71,14.71,8228.78935239,coinbase-exchange
2016-06-10,14.61,14.74,13.76,13.91,13.91,17343.60529673,coinbase-exchange
2016-06-11,13.93,14.29,13.86,14.1,14.1,7584.34578331,coinbase-exchange
2016-06-12,14.14,15.91,13.92,15.58,15.58,20345.76593924,coinbase-exchange
2016-06-13,15.91,17.93,15.49,17.89,17.89,24139.28308106,coinbase-exchange
2016-06-14,17.86,19.08,16.96,18.79,18.79,35354.00175853,coinbase-exchange
2016-06-15,18.79,18.81,17.89,18.42,18.42,13621.19598818,coinbase-exchange
2016-06-16,18.51,21.35,18.5,20.99,20.99,34254.40154851,coinbase-exchange
2016-06-17,20.99,22.0,13.75,15.65,15.65,123086.50823711,coinbase-exchange
2016-06-18,15.64,15.74,10.0,11.64,11.64,80852.03798852,coinbase-exchange
2016-06-19,11.55,13.4,10.72,12.35,12.35,28851.00195531,coinbase-exchange
2016-06-20,12.35,12.74,10.8,11.81,11.81,34641.79666928,coinbase-exchange
2016-06-21,11.44,13.89,11.2,13.89,13.89,32071.49064345,coinbase-exchange
2016-06-22,13.3,15.89,13.07,13.18,13.18,68057.88469055,coinbase-exchange
2016-06-23,13.18,14.5,12.68,13.81,13.81,34442.87789793,coinbase-exchange
2016-06-24,13.98,14.8,13.25,14.55,14.55,32274.19757915,coinbase-exchange
2016-06-25,14.55,14.74,14.0,14.37,14.37,10302.71187563,coinbase-exchange
2016-06-26,14.39,14.49,13.6,14.02,14.02,7488.8236385,coinbase-exchange
2016-06-27,14.0,14.59,13.85,14.1,14.1,10078.63738047,coinbase-exchange
2016-06-28,14.06,14.25,11.52,12.23,12.23,42387.67810322,coinbase-exchange
2016-06-29,12.16,13.13,11.62,12.74,12.74,25997.64756834,coinbase-exchange
2016-06-30,12.7,13.06,12.19,12.49,12.49,12663.14580924,coinbase-exchange
2016-07-01,12.48,12.54,11.8,12.34,12.34,19205.4897143,coinbase-exchange
2016-07-02,12.28,12.45,12.0,12.09,12.09,11840.96985278,coinbase-exchange
2016-07-03,12.16,12.16,11.65,12.02,12.02,11736.40355589,coinbase-exchange
2016-07-04,11.94,11.99,11.41,11.48,11.48,5533.2581474,coinbase-exchange
2016-07-05,11.45,11.48,9.31,10.6,10.6,34511.7068254,coinbase-exchange
2016-07-06,10.6,11.0,10.24,10.61,10.61,14275.48001113,coinbase-exchange
2016-07-07,10.6,10.7,9.75,10.08,10.08,21326.77616712,coinbase-exchange
2016-07-08,10.08,11.8,10.05,11.43,11.43,27617.23490332,coinbase-exchange
2016-07-09,11.39,11.57,10.68,11.01,11.01,9083.5261648,coinbase-exchange
2016-07-10,11.02,11.3,10.9,11.02,11.02,9663.83583708,coinbase-exchange
2016-07-11,11.0,11.16,10.11,10.72,10.72,11107.71792781,coinbase-exchange
2016-07-12,10.65,10.98,10.5,10.57,10.57,13923.53770765,coinbase-exchange
2016-07-13,10.58,10.65,10.49,10.49,10.49,5528.53520559,coinbase-exchange
2016-07-14,10.5,11.78,10.33,11.62,11.62,25186.1631715,coinbase-exchange
2016-07-15,11.56,12.75,11.4,11.99,11.99,24310.41873758,coinbase-exchange
2016-07-16,11.98,12.4,11.79,11.8,11.8,7835.09442747,coinbase-exchange
2016-07-17,11.81,11.92,11.02,11.33,11.33,12640.65466527,coinbase-exchange
2016-07-18,11.27,11.93,11.0,11.05,11.05,14252.84312825,coinbase-exchange
2016-07-19,11.08,11.98,11.07,11.75,11.75,7847.98405008,coinbase-exchange
2016-07-20,11.7,13.0,11.22,12.5,12.5,39972.64055705,coinbase-exchange
2016-07-21,12.53,13.09,12.1,12.76,12.76,72238.15862963,coinbase-exchange
2016-07-22,12.76,15.11,12.73,14.83,14.83,199021.78612215,coinbase-exchange
2016-07-23,14.99,15.39,14.0,14.52,14.52,115664.85905823,coinbase-exchange
2016-07-24,14.52,14.57,12.05,12.78,12.78,140551.75773818,coinbase-exchange
2016-07-25,12.71,14.01,12.61,13.91,13.91,102002.13638217,coinbase-exchange
2016-07-26,13.93,13.95,11.88,12.0,12.0,165956.58096664,coinbase-exchange
2016-07-27,12.0,13.4,11.75,13.1,13.1,109888.51441769,coinbase-exchange
2016-07-28,13.1,13.14,12.53,12.93,12.93,65888.62850025,coinbase-exchange
2016-07-29,12.93,12.95,12.57,12.84,12.84,53574.54517222,coinbase-exchange
2016-07-30,12.84,12.88,12.49,12.49,12.49,38688.56312304,coinbase-exchange
2016-07-31,12.49,12.67,11.61,11.99,11.99,57176.02478705,coinbase-exchange
2016-08-01,11.98,12.12,10.8,10.95,10.95,91877.26285049,coinbase-exchange
2016-08-02,10.9,11.31,6.68,8.78,8.78,195130.59686567,coinbase-exchange
2016-08-03,8.68,10.78,8.54,10.68,10.68,215583.512364,coinbase-exchange
2016-08-04,10.6,11.55,10.42,11.32,11.32,99077.49496569,coinbase-exchange
2016-08-05,11.3,11.4,10.81,11.18,11.18,47211.47460946,coinbase-exchange
2016-08-06,11.18,11.18,10.42,11.01,11.01,34961.5442009,coinbase-exchange
2016-08-07,11.0,11.25,10.84,10.99,10.99,30029.04625241,coinbase-exchange
2016-08-08,10.99,11.42,10.94,11.34,11.34,30922.78458975,coinbase-exchange
2016-08-09,11.33,12.48,11.24,12.28,12.28,84417.44258041,coinbase-exchange
2016-08-10,12.28,12.91,11.87,12.21,12.21,146626.25933812,coinbase-exchange
2016-08-11,12.22,12.39,11.6,11.73,11.73,54926.88562361,coinbase-exchange
2016-08-12,11.73,12.08,11.65,11.81,11.81,30677.55295917,coinbase-exchange
2016-08-13,11.8,11.86,11.54,11.61,11.61,28354.66338244,coinbase-exchange
2016-08-14,11.61,11.76,11.2,11.28,11.28,25765.64425382,coinbase-exchange
2016-08-15,11.28,11.52,11.02,11.3,11.3,33109.31343517,coinbase-exchange
2016-08-16,11.3,11.38,11.0,11.18,11.18,51006.91887219,coinbase-exchange
2016-08-17,11.18,11.26,10.69,10.82,10.82,40056.82719069,coinbase-exchange
2016-08-18,10.82,11.06,10.76,10.77,10.77,35781.19456056,coinbase-exchange
2016-08-19,10.77,10.86,10.65,10.77,10.77,29172.24769995,coinbase-exchange
2016-08-20,10.77,11.37,10.7,11.3,11.3,35237.83119915,coinbase-exchange
2016-08-21,11.3,11.3,10.98,11.21,11.21,17991.20253784,coinbase-exchange
2016-08-22,11.17,11.34,11.04,11.1,11.1,36422.56390129,coinbase-exchange
2016-08-23,11.1,11.2,10.85,11.0,11.0,32543.67623417,coinbase-exchange
2016-08-24,11.0,11.16,10.98,11.01,11.01,24028.11262635,coinbase-exchange
2016-08-25,11.01,11.35,10.99,11.34,11.34,28931.96029963,coinbase-exchange
2016-08-26,11.34,11.47,11.2,11.28,11.28,27315.07630676,coinbase-exchange
2016-08-27,11.27,11.28,11.17,11.18,11.18,19819.1825905,coinbase-exchange
2016-08-28,11.18,11.19,10.97,11.01,11.01,18597.57337445,coinbase-exchange
2016-08-29,11.01,11.16,10.8,10.95,10.95,31692.28420368,coinbase-exchange
2016-08-30,10.95,11.25,10.95,11.21,11.21,26085.36423008,coinbase-exchange
2016-08-31,11.21,11.7,11.09,11.7,11.7,37764.85035055,coinbase-exchange
2016-09-01,11.66,12.5,11.57,12.05,12.05,86923.53623039,coinbase-exchange
2016-09-02,12.04,12.35,11.95,12.15,12.15,40624.95260066,coinbase-exchange
2016-09-03,12.15,12.47,11.6,11.88,11.88,37685.4071003,coinbase-exchange
2016-09-04,11.84,11.88,11.54,11.77,11.77,19087.25431474,coinbase-exchange
2016-09-05,11.77,11.84,11.62,11.76,11.76,14082.01283621,coinbase-exchange
2016-09-06,11.75,11.76,11.5,11.71,11.71,27155.23259948,coinbase-exchange
2016-09-07,11.75,11.9,11.53,11.58,11.58,33512.36863088,coinbase-exchange
2016-09-08,11.55,11.7,11.31,11.39,11.39,31912.58143522,coinbase-exchange
2016-09-09,11.39,11.69,11.34,11.64,11.64,21564.69540449,coinbase-exchange
2016-09-10,11.64,12.21,11.55,12.21,12.21,20050.67411838,coinbase-exchange
2016-09-11,12.2,12.21,11.6,11.65,11.65,25284.19288293,coinbase-exchange
2016-09-12,11.64,11.95,11.64,11.86,11.86,20983.23937881,coinbase-exchange
2016-09-13,11.87,12.08,11.84,11.92,11.92,29477.73756322,coinbase-exchange
2016-09-14,11.92,12.03,11.8,11.91,11.91,24242.33658977,coinbase-exchange
2016-09-15,11.91,12.1,11.91,11.96,11.96,23164.41465827,coinbase-exchange
2016-09-16,11.95,12.76,11.86,12.58,12.58,56290.96301989,coinbase-exchange
2016-09-17,12.58,12.99,12.41,12.79,12.79,33762.67691171,coinbase-exchange
2016-09-18,12.8,12.98,12.33,12.64,12.64,55642.67412855,coinbase-exchange
2016-09-19,12.64,13.2,12.61,13.17,13.17,37963.90128102,coinbase-exchange
2016-09-20,13.18,15.25,13.1,14.56,14.56,103258.24414717,coinbase-exchange
2016-09-21,14.98,15.2,13.16,13.76,13.76,86878.31339992,coinbase-exchange
2016-09-22,13.77,13.77,12.33,13.2,13.2,69158.51094682,coinbase-exchange
2016-09-23,13.21,13.45,13.14,13.37,13.37,25435.93131045,coinbase-exchange
2016-09-24,13.37,13.41,12.62,12.97,12.97,36744.51623709,coinbase-exchange
2016-09-25,12.96,13.18,12.8,13.12,13.12,19609.30272338,coinbase-exchange
2016-09-26,13.14,13.15,12.83,12.84,12.84,23612.37515815,coinbase-exchange
2016-09-27,12.85,13.25,12.85,13.09,13.09,28030.75843558,coinbase-exchange
2016-09-28,13.09,13.58,13.09,13.32,13.32,43267.65943128,coinbase-exchange
2016-09-29,13.31,13.39,13.1,13.11,13.11,36907.16255685,coinbase-exchange
2016-09-30,13.11,13.39,13.08,13.23,13.23,33018.43006697,coinbase-exchange
2016-10-01,13.23,13.31,13.09,13.22,13.22,32857.12250033,coinbase-exchange
2016-10-02,13.23,13.31,13.19,13.28,13.28,20487.3243321,coinbase-exchange
2016-10-03,13.29,13.56,13.25,13.51,13.51,36084.40484462,coinbase-exchange
2016-10-04,13.52,13.58,13.24,13.32,13.32,54546.99415642,coinbase-exchange
2016-10-05,13.34,13.45,13.08,13.09,13.09,36972.42755302,coinbase-exchange
2016-10-06,13.09,13.18,12.68,12.86,12.86,48476.08066793,coinbase-exchange
2016-10-07,12.88,13.08,12.5,12.7,12.7,53435.17624298,coinbase-exchange
2016-10-08,12.7,12.74,12.06,12.26,12.26,33575.16553442,coinbase-exchange
2016-10-09,12.22,12.43,12.02,12.1,12.1,24643.27120188,coinbase-exchange
2016-10-10,12.1,12.18,11.62,11.78,11.78,48881.85295965,coinbase-exchange
2016-10-11,11.78,12.24,11.7,11.77,11.77,37428.62847419,coinbase-exchange
2016-10-12,11.77,12.11,11.68,11.92,11.92,35966.20680253,coinbase-exchange
2016-10-13,11.92,12.11,11.72,11.87,11.87,33573.94475711,coinbase-exchange
2016-10-14,11.88,12.07,11.84,11.92,11.92,36671.12333652,coinbase-exchange
2016-10-15,11.91,11.97,11.78,11.95,11.95,21325.87373761,coinbase-exchange
2016-10-16,11.96,12.05,11.9,11.95,11.95,16434.51951062,coinbase-exchange
2016-10-17,11.95,11.99,11.83,11.96,11.96,29086.86618026,coinbase-exchange
2016-10-18,11.96,12.94,11.95,12.54,12.54,46033.28690624,coinbase-exchange
2016-10-19,12.55,12.65,11.88,12.01,12.01,39153.6350369,coinbase-exchange
2016-10-20,12.01,12.26,11.92,12.06,12.06,30258.77366766,coinbase-exchange
2016-10-21,12.07,12.13,11.96,12.05,12.05,19934.99934351,coinbase-exchange
2016-10-22,12.05,12.14,11.87,12.03,12.03,25534.43284617,coinbase-exchange
2016-10-23,12.04,12.06,11.87,11.94,11.94,20447.6787279,coinbase-exchange
2016-10-24,11.93,11.99,11.89,11.92,11.92,22587.73970274,coinbase-exchange
2016-10-25,11.91,11.95,11.05,11.33,11.33,73843.36530765,coinbase-exchange
2016-10-26,11.32,11.7,11.32,11.49,11.49,43365.69437554,coinbase-exchange
2016-10-27,11.49,11.57,11.22,11.48,11.48,43041.55366569,coinbase-exchange
2016-10-28,11.49,11.63,10.93,11.13,11.13,49280.81055404,coinbase-exchange
2016-10-29,11.14,11.35,9.52,10.47,10.47,88253.02376514,coinbase-exchange
2016-10-30,10.45,11.45,10.35,11.19,11.19,43247.01519783,coinbase-exchange
2016-10-31,11.2,11.44,10.85,10.97,10.97,34573.58358316,coinbase-exchange
2016-11-01,10.97,11.25,10.35,10.84,10.84,72257.87837691,coinbase-exchange
2016-11-02,10.84,11.17,10.72,10.83,10.83,39938.25548255,coinbase-exchange
2016-11-03,10.82,11.14,10.77,10.87,10.87,51296.3181471,coinbase-exchange
2016-11-04,10.87,11.16,10.81,11.15,11.15,34173.19268052,coinbase-exchange
2016-11-05,11.16,11.24,11.01,11.16,11.16,22486.50204423,coinbase-exchange
2016-11-06,11.16,11.2,10.92,11.01,11.01,20054.20708478,coinbase-exchange
2016-11-07,11.01,11.06,10.9,10.93,10.93,28151.129996,coinbase-exchange
2016-11-08,10.93,11.01,10.81,10.84,10.84,41425.93379279,coinbase-exchange
2016-11-09,10.83,10.86,10.28,10.62,10.62,73175.2243969,coinbase-exchange
2016-11-10,10.64,10.68,10.44,10.51,10.51,26510.99928124,coinbase-exchange
2016-11-11,10.51,10.72,10.16,10.29,10.29,44519.98049712,coinbase-exchange
2016-11-12,10.29,10.34,9.65,9.95,9.95,46389.01102957,coinbase-exchange
2016-11-13,9.92,10.41,9.82,10.14,10.14,26632.72759074,coinbase-exchange
2016-11-14,10.13,10.19,9.93,10.02,10.02,29852.22718226,coinbase-exchange
2016-11-15,10.0,10.3,9.81,10.27,10.27,30112.61210255,coinbase-exchange
2016-11-16,10.27,10.42,9.82,10.0,10.0,42878.9240058,coinbase-exchange
2016-11-17,10.0,10.13,9.8,9.91,9.91,48661.31895181,coinbase-exchange
2016-11-18,9.9,9.97,9.45,9.51,9.51,55819.74097787,coinbase-exchange
2016-11-19,9.51,9.78,9.45,9.68,9.68,25492.17245913,coinbase-exchange
2016-11-20,9.69,9.78,9.52,9.6,9.6,25186.76775388,coinbase-exchange
2016-11-21,9.58,9.65,9.41,9.54,9.54,28988.66220382,coinbase-exchange
2016-11-22,9.53,10.21,9.49,9.87,9.87,38033.8677779,coinbase-exchange
2016-11-23,9.87,9.93,9.73,9.8,9.8,21427.23282124,coinbase-exchange
2016-11-24,9.8,9.82,8.68,9.18,9.18,67233.11391859,coinbase-exchange
2016-11-25,9.19,9.74,9.16,9.4,9.4,21992.7200396,coinbase-exchange
2016-11-26,9.42,9.48,9.26,9.33,9.33,17875.33366307,coinbase-exchange
2016-11-27,9.33,9.33,8.66,8.98,8.98,61939.50710924,coinbase-exchange
2016-11-28,8.97,9.0,8.63,8.67,8.67,46708.57126503,coinbase-exchange
2016-11-29,8.67,8.72,7.79,8.14,8.14,84684.16746046,coinbase-exchange
2016-11-30,8.14,8.75,8.14,8.61,8.61,57443.67791609,coinbase-exchange
2016-12-01,8.59,8.68,8.3,8.45,8.45,42193.04172297,coinbase-exchange
2016-12-02,8.46,8.46,7.27,7.73,7.73,118183.25313796,coinbase-exchange
2016-12-03,7.73,8.12,7.34,7.86,7.86,57901.27746199,coinbase-exchange
2016-12-04,7.87,7.92,7.35,7.37,7.37,45053.36838461,coinbase-exchange
2016-12-05,7.39,7.58,6.56,6.75,6.75,93549.91705137,coinbase-exchange
2016-12-06,6.76,7.99,5.81,7.83,7.83,169727.89511206,coinbase-exchange
2016-12-07,7.83,8.6,7.33,8.35,8.35,91022.39199888,coinbase-exchange
2016-12-08,8.35,8.95,8.2,8.2,8.2,69191.58131147,coinbase-exchange
2016-12-09,8.21,8.65,7.97,8.47,8.47,60616.06116836,coinbase-exchange
2016-12-10,8.46,8.55,8.04,8.14,8.14,44650.73726691,coinbase-exchange
2016-12-11,8.14,8.26,8.11,8.23,8.23,22169.58367344,coinbase-exchange
2016-12-12,8.23,8.62,8.18,8.5,8.5,44454.92057029,coinbase-exchange
2016-12-13,8.53,8.57,8.35,8.41,8.41,37242.66222809,coinbase-exchange
2016-12-14,8.4,8.48,8.19,8.24,8.24,34073.30998726,coinbase-exchange
2016-12-15,8.24,8.32,7.64,7.83,7.83,74745.17121022,coinbase-exchange
2016-12-16,7.85,7.95,7.77,7.84,7.84,33701.60810742,coinbase-exchange
2016-12-17,7.84,7.93,7.51,7.85,7.85,37375.06272,coinbase-exchange
2016-12-18,7.84,7.97,7.69,7.92,7.92,21241.08083959,coinbase-exchange
2016-12-19,7.92,7.95,7.57,7.64,7.64,41333.50672096,coinbase-exchange
2016-12-20,7.65,7.77,7.55,7.64,7.64,28560.53439842,coinbase-exchange
2016-12-21,7.64,7.97,7.64,7.91,7.91,46350.30741928,coinbase-exchange
2016-12-22,7.93,7.95,7.5,7.55,7.55,86905.17310973,coinbase-exchange
2016-12-23,7.54,7.67,7.01,7.13,7.13,95553.44592549,coinbase-exchange
2016-12-24,7.14,7.46,7.08,7.22,7.22,29874.25951248,coinbase-exchange
